via,zona,numeri,citta
CAVE ,40 - A,TUTTI,SAN GIULIANO TERME
CAVE ,50,154,VECCHIANO
CAVINA ,37 - B,TUTTI,SAN GIULIANO TERME
CAVOUR ,16 - B,TUTTI,PISA
CAVOUR ,36 - B,TUTTI,SAN GIULIANO TERME
CECI ANTONIO ,2 - B,TUTTI,PISA
CEDRINE ,26 - B,TUTTI,PISA
CEI,24 - B,TUTTI,PISA
CELLINI BENVENUTO ,38 - A,TUTTI,SAN GIULIANO TERME
CENTOFANTI ,42 - B,TUTTI,CALCI
CENTRO RAI ,5 - A,TUTTI,PISA
CERAMICA ,4 - B,SNC,PISA
CERBAIOLA ,42 - B,TUTTI,CALCI
CERBONI ELVEZIO ,1 - B,TUTTI,PISA
CERIA ,7 - B,TUTTI,CASCINA
CERTOSA ,42 - B,TUTTI,CALCI
CERUTI GINO ,37 - B,TUTTI,SAN GIULIANO TERME
CERVINO ,8 - A,TUTTI,PISA
CESALPINO ANDREA ,4 - A,TUTTI,PISA
CESTI ,40 - B,TUTTI,SAN GIULIANO TERME
CHE GUEVARA ,31 - A,DAL 173/A AL 181,SAN GIULIANO TERME
CHE GUEVARA ,36 - A,DAL 5 AL 197 DAL 2 AL 156,SAN GIULIANO TERME
CHERUBINI LUIGI ,37 - B,TUTTI,SAN GIULIANO TERME
CHIARINI GIUSEPPE ,37 - B,TUTTI,SAN GIULIANO TERME
CHIASSATELLO ,29 - A,TUTTI,PISA
CHIASSATELLO ,47,13,PISA
CHIASSETTO SAN MARCO ,2 - A,TUTTI,PISA
CHIASSO ,42 - B,TUTTI,CALCI
CHIELLINI ,17 - B,TUTTI,SAN GIULIANO TERME
CHIESA DAMIANO ,20 - A,TUTTI,PISA
CHIESA EUGENIO ,20 - A,TUTTI,PISA
CHIOSTRA ,41 - B,TUTTI,CALCI
CHIOSTRA ,41 - B,TUTTI,CALCI
CHIUSA ,32 - B,TUTTI,VECCHIANO
CIALDINI ,37 - B,TUTTI,SAN GIULIANO TERME
CIARDELLI NICOLA ,28 - A,1/B,PISA
CIARDI ,36 - A,TUTTI,SAN GIULIANO TERME
CICOGNINI ,15 - A,TUTTI,SAN GIULIANO TERME
CIGNANI ,37 - B,TUTTI,SAN GIULIANO TERME
CILEA FRANCESCO ,30 - B,TUTTI,PISA
CILEA FRANCESCO ,36 - A,DAL 3/A AL 9 DAL 24 AL 52,SAN GIULIANO TERME
CILEA FRANCESCO ,37 - A,DAL 2 AL 22,SAN GIULIANO TERME
CIMABUE ,22 - B,TUTTI,PISA
CIMABUE GIOVANNI ,37 - B,TUTTI,SAN GIULIANO TERME
CIMAROSA DOMENICO ,38 - A,TUTTI,SAN GIULIANO TERME
CIMITERO ,35 - A,TUTTI,VECCHIANO
CIRILLO MARCO ,32 - B,TUTTI,VECCHIANO
CISANELLO ,4 - A,TUTTI,PISA
CISANELLO ,43 - A,TUTTI,SAN GIULIANO TERME
CISANELLO ,48,20,SAN GIULIANO TERME
CISANELLO ,49,145; 168; 170,PISA
CITTADELLA ,33 - A,TUTTI,VECCHIANO
CIUCCI VERA ,9 - B,TUTTI,CASCINA
CIURINI IACOPO ,27 - B,TUTTI,PISA
CLARI GIAN CARLO MARIA ,2 - B,TUTTI,PISA
CLAUDIO NAMAZIANO ,28 - A,TUTTI,PISA
COBIANCHI MARIO ,1 - B,SNC,PISA
COCCAPANI LUDOVICO ,16 - B,TUTTI,PISA
COCCHI ,8 - B,TUTTI,PISA
COCCHI ANTONIO ,43 - A,TUTTI,SAN GIULIANO TERME
COCCHI ANTONIO ,8 - B,TUTTI,PISA
COCCHI ANTONIO USL,46,7,PISA
CODOLE ,41 - B,TUTTI,CALCI
COLI ,36 - A,TUTTI,SAN GIULIANO TERME
COLLE ,35 - A,TUTTI,VECCHIANO
COLLE ,41 - B,TUTTI,CALCI
COLLEGIO RICCI ,23 - B,TUTTI,PISA
COLLEGIO RICCI ,45,10,PISA
COLLETTA PIETRO ,17 - B,TUTTI,SAN GIULIANO TERME
COLLETTO ,40 - B,TUTTI,SAN GIULIANO TERME
COLLODI ,39 - B,TUTTI,SAN GIULIANO TERME
COLLODI CARLO ,22 - A,TUTTI,PISA
COLLODI CARLO ,39 - B,TUTTI,SAN GIULIANO TERME
COLLODI CARLO ,39 - B,TUTTI,SAN GIULIANO TERME
COLO' ZENO ,33 - A,TUTTI,VECCHIANO
COLOMBAIE ,25 - A,TUTTI,PISA
COLOMBO CRISTOFORO ,2 - A,TUTTI,PISA
COLOMBO CRISTOFORO ,33 - A,TUTTI,VECCHIANO
COLONNE ,16 - B,TUTTI,PISA
COLORNI EUGENIO ,21 - A,TUTTI,PISA
COMUNALI ,40 - A,TUTTI,SAN GIULIANO TERME
CONCE ,3 - B,TUTTI,PISA
CONCETTE ,17 - A,TUTTI,PISA
CONDOTTI ,17 - B,TUTTI,SAN GIULIANO TERME
CONDOTTI ,40 - A,TUTTI,SAN GIULIANO TERME
CONSANI PIERO ,24 - B,TUTTI,PISA
CONSEGNE ,8 - B,TUTTI,PISA
CONSERVE ,31 - B,TUTTI,SAN GIULIANO TERME
CONSOLI DEL MARE ,16 - B,TUTTI,PISA
CONTE FAZIO ,29 - A,TUTTI,PISA
CONTESSA MATILDE ,21 - A,TUTTI,PISA
CONTI GIOVANNI ,6 - A,TUTTI,PISA
COPERNICO NICOLO' ,43 - B,TUTTI,SAN GIULIANO TERME
COPPI FAUSTO E BARTALI GINO ,42 - B,TUTTI,CALCI
CORRIDONI ,37 - A,TUTTI,SAN GIULIANO TERME
CORRIDONI FILIPPO ,2 - A,TUTTI,PISA
CORRIDONI FILIPPO ,44,117,PISA
CORRIDONI FILIPPO ,45,87,PISA
CORRIDONI FILIPPO ,45,122,PISA
CORSANI GAETANO ,28 - B,TUTTI,PISA
CORSICA ,23 - B,TUTTI,PISA
CORSICA ,9 - A,TUTTI,CASCINA
CORTA ,23 - A,TUTTI,PISA
CORTA ,33 - B,TUTTI,VECCHIANO
CORTE DEL PORTICO ,8 - B,TUTTI,PISA
CORTE GARGINI ,41 - B,TUTTI,CALCI
CORTE GRANDE ,36 - A,TUTTI,SAN GIULIANO TERME
CORTE INTERNO ,42 - B,TUTTI,CALCI
CORTE TIERZI ,8 - A,TUTTI,PISA
CORTI ,37 - B,TUTTI,SAN GIULIANO TERME
CORTO ,39 - B,TUTTI,SAN GIULIANO TERME
CORTONA ,35 - B,TUTTI,VECCHIANO
CORVO ,37 - B,TUTTI,SAN GIULIANO TERME
COSTA ,31 - A,TUTTI,SAN GIULIANO TERME
COSTA ANDREA ,21 - B,TUTTI,PISA
CRESPIGNANO,41 - A,TUTTI,CALCI
CRISPI FRANCESCO ,3 - A,TUTTI,PISA
CRISPI FRANCESCO ,45,17,PISA
CROCE ,38 - B,TUTTI,SAN GIULIANO TERME
CROCE BENEDETTO ,2 - B,TUTTI,PISA
CROCE BENEDETTO ,31 - A,TUTTI,SAN GIULIANO TERME
CROCE BENEDETTO ,49,105,PISA
CROCE ROSSA ,23 - B,TUTTI,PISA
CROCIFISSO ,2 - B,TUTTI,PISA
CRUTO ALESSANDRO ,29 - A,TUTTI,PISA
CULMINEZZA ,41 - B,TUTTI,CALCI
CUOCO VINCENZO ,24 - A,TUTTI,PISA
CUOCO VINCENZO ,36 - B,TUTTI,SAN GIULIANO TERME
CUORE ,16 - A,TUTTI,PISA
CUPPARI PIETRO ,14 - B,TUTTI,PISA
CURIE PIERRE ,38 - A,TUTTI,SAN GIULIANO TERME
CURTATONE E MONTANARA ,23 - B,TUTTI,PISA
CURTATONE E MONTANARA ,45,15,PISA
CURZOLARI ,28 - B,TUTTI,PISA
DA BUTI FRANCESCO ,2 - A,TUTTI,PISA
DA FABRIANO GENTILE ,30 - A,TUTTI,PISA
DA FABRIANO GENTILE ,43 - B,TUTTI,SAN GIULIANO TERME
DA MAIANO GIULIO ,43 - A,TUTTI,SAN GIULIANO TERME
DA MESSINA ANTONELLO ,38 - B,TUTTI,SAN GIULIANO TERME
DA MONTEFELTRO PADRE AGOSTINO ,27 - A,TUTTI,PISA
DA MORRONA ALESSANDRO ,1 - B,TUTTI,PISA
DA MORRONA ALESSANDRO ,17 - B,TUTTI,SAN GIULIANO TERME
DA PADULE BONACCORSO ,29 - A,TUTTI,PISA
DA PISA GUIDO ,44,TUTTI,PISA
DA PISA PIETRO ,19 - A,TUTTI,PISA
DA PISA RUSTICHELLO ,19 - A,TUTTI,PISA
DA SAN CONCORDIO FRA' BARTOLOMEO ,30 - B,TUTTI,PISA
DA SANGALLO GIULIANO ,2 - A,TUTTI,PISA
DA SASSOFERRATO BARTOLO ,4 - A,TUTTI,PISA
DA SCORNO ,2 - B,TUTTI,PISA
DA VECCHIANO CINO ,34 - A,TUTTI,VECCHIANO
DA VERRAZZANO GIOVANNI ,28 - B,TUTTI,PISA
DA VINCI LEONARDO ,21 - A,TUTTI,PISA
DA VINCI LEONARDO ,34 - B,TUTTI,VECCHIANO
DA VINCI LEONARDO ,43 - A,TUTTI,SAN GIULIANO TERME
D'ACQUISTO SALVO ,24 - A,TUTTI,PISA
D'ACQUISTO SALVO ,32 - A,TUTTI,VECCHIANO
DAIBERTO ,27 - B,TUTTI,PISA
DAL BORGO FLAMINIO ,2 - B,TUTTI,PISA
DAL BORGO FLAMINIO ,38 - B,TUTTI,SAN GIULIANO TERME
DALMAZIA ,23 - B,13,PISA
DALMAZIA ,23 - B,TUTTI,PISA
D'ANCONA ALESSANDRO ,18 - B,TUTTI,PISA
DANIMARCA ,4 - A,TUTTI,PISA
D'ANNUNZIO GABRIELE ,15 - A,TUTTI,SAN GIULIANO TERME
D'ANNUNZIO GABRIELE ,28 - A,DAL 3 AL 21 DAL 2 AL 20,PISA
D'ANNUNZIO GABRIELE ,28 - B,DAL 1 AL 145 DAL 22 AL 262,PISA
DANTE ,41 - A,TUTTI,CALCI
D'AREZZO GUIDO ,43 - A,TUTTI,SAN GIULIANO TERME
DARSENA ,25 - A,TUTTI,PISA
DARSENA ,47,1,PISA
D'ARSULA ,30 - B,TUTTI,PISA
DARWIN ,36 - B,TUTTI,SAN GIULIANO TERME
D'ASCANIO CORRADINO ,44,SAT,PISA
D'AZEGLIO MASSIMO ,3 - B,TUTTI,PISA
DE AMICIS EDMONDO ,16 - A,TUTTI,PISA
DE AMICIS EDMONDO ,34 - B,TUTTI,VECCHIANO
DE AMICIS EDMONDO ,36 - B,TUTTI,SAN GIULIANO TERME
DE AMICIS EDMONDO ,50,119,SAN GIULIANO TERME
DE ANDRE' FABRIZIO ,11 - B,TUTTI,CASCINA
DE ANDRE' FABRIZIO ,25 - B,TUTTI,PISA
DE BONI FILIPPO ,6 - A,TUTTI,PISA
DE CHIRICO ,39 - B,TUTTI,SAN GIULIANO TERME
DE CHIRICO GIORGIO ,11 - A,TUTTI,CASCINA
DE CURTIS ANTONIO ,11 - A,TUTTI,CASCINA
DE GASPERI ALCIDE ,37 - A,DAL 53 AL 113 DAL 8 AL 110,SAN GIULIANO TERME
DE GASPERI ALCIDE ,37 - B,DAL 1 AL 51,SAN GIULIANO TERME
DE GASPERI ALCIDE ,38 - B,DAL 2 AL 6,SAN GIULIANO TERME
DE GIORGI ENNIO ,5 - A,SNC,PISA
DE MARCHI ,36 - B,TUTTI,SAN GIULIANO TERME
DE MICHELE JACOPO DETTO IL GERA ,22 - A,TUTTI,PISA
DE NICOLA ENRICO ,10 - B,TUTTI,CASCINA
DE NITTIS ,43 - B,TUTTI,SAN GIULIANO TERME
DE PINEDO FRANCESCO ,1 - B,TUTTI,PISA
DE PRETIS AGOSTINO ,6 - A,TUTTI,PISA
DE ROSSI PROPERZIA ,36 - B,TUTTI,SAN GIULIANO TERME
DE RUGGIERO GUIDO ,14 - A,TUTTI,PISA
DE SANCTIS ,15 - A,TUTTI,SAN GIULIANO TERME
DE SANCTIS FRANCESCO ,24 - A,TUTTI,PISA
DEGAZIA ,29 - A,SNC,PISA
DEGLI UBALDI BALDO ,17 - A,TUTTI,PISA
DEGLI UBERTI FAZIO ,22 - B,TUTTI,PISA
DEL LANTE CAMILLA ,3 - B,TUTTI,PISA
DEL PRETE CARLO ,1 - B,TUTTI,PISA
DEL ROSSO FEDERICO ,17 - A,TUTTI,PISA
DEL SARTO ANDREA ,22 - B,TUTTI,PISA
DEL TORTO GIUSEPPE ,12 - A,TUTTI,CASCINA
DEL VAGA PIERIN ,30 - A,TUTTI,PISA
DELEDDA GRAZIA ,10 - B,SNC,CASCINA
DELEDDA GRAZIA ,28 - A,TUTTI,PISA
DELEDDA GRAZIA ,33 - B,TUTTI,VECCHIANO
DELEDDA GRAZIA ,36 - A,TUTTI,SAN GIULIANO TERME
DELLA FAGGIOLA UGUCCIONE ,23 - A,TUTTI,PISA
DELLA PURA ALFREDO ,24 - A,TUTTI,PISA
DELLA SPINA ALESSANDRO ,2 - A,TUTTI,PISA
DELL'OMODARME GIUSEPPE ,6 - A,TUTTI,PISA
DERNA ,19 - A,TUTTI,PISA
DI BALDUCCIO GIOVANNI ,29 - A,TUTTI,PISA
DI CALCUTTA MADRE TERESA ,1 - B,TUTTI,PISA
DI CAMAINO TINO ,22 - A,TUTTI,PISA
DI GIACOMO ,40 - A,TUTTI,SAN GIULIANO TERME
DI LUPO PARRA PIETRO ,11 - B,TUTTI,CASCINA
DI PARI ,41 - B,TUTTI,CALCI
DI PIETRO CECCO ,24 - A,TUTTI,PISA
DI PUCCIO PIERO ,4 - B,TUTTI,PISA
DI SAVOIA MAFALDA ,19 - B,TUTTI,PISA
DI SIMONE GIOVANNI ,18 - B,TUTTI,PISA
DI SIMONE GIOVANNI ,44,2,PISA
DI TEDICE ENRICO ,19 - A,TUTTI,PISA
DI VITTORIO GIUSEPPE ,18 - B,TUTTI,PISA
DI VITTORIO GIUSEPPE ,32 - A,TUTTI,VECCHIANO
DI VITTORIO GIUSEPPE ,36 - A,DAL 27 AL 39 DAL 20 AL 26/B,SAN GIULIANO TERME
DI VITTORIO GIUSEPPE ,37 - A,DAL 51 AL 83 DAL 28 AL 58,SAN GIULIANO TERME
DI VITTORIO GIUSEPPE ,38 - A,DAL 9 AL 25 DAL 6 AL 22/A,SAN GIULIANO TERME
DI VITTORIO GIUSEPPE ,38 - B,DAL 5 AL 7 DAL 2 AL 4,SAN GIULIANO TERME
DI VITTORIO GIUSEPPE ,39 - A,DAL 3 AL 3/A,SAN GIULIANO TERME
DI VITTORIO GIUSEPPE ,9 - B,TUTTI,CASCINA
DIACONO ENRICO ,27 - A,TUTTI,PISA
DIAZ ARMANDO ,24 - B,TUTTI,PISA
DIGIONE ,7 - A,TUTTI,PISA
DINI ULISSE ,16 - B,DAL 2 AL 26,PISA
DINI ULISSE ,24 - B,TUTTI,SAN GIULIANO TERME
DINI ULISSE ,34 - A,TUTTI,VECCHIANO
DINI ULISSE ,39 - A,TUTTI,SAN GIULIANO TERME
DINI ULISSE ,50,83; 85,SAN GIULIANO TERME
DINUCCI MARINO ,39 - B,TUTTI,SAN GIULIANO TERME
DINUCCI OTTORINO ,36 - A,TUTTI,SAN GIULIANO TERME
DIOTISALVI ,21 - B,TUTTI,PISA
DIOTISALVI ,47,2,PISA
DOGALI ,6 - A,TUTTI,PISA
D'OMBRA ,33 - A,TUTTI,VECCHIANO
DON MINZONI ,32 - A,TUTTI,VECCHIANO
DON MINZONI ,41 - B,TUTTI,CALCI
DONADONI EUGENIO ,17 - A,TUTTI,PISA
DONATELLO ,30 - A,TUTTI,PISA
DONATELLO ,39 - B,TUTTI,SAN GIULIANO TERME
DONATI GIOVAN BATTISTA ,16 - B,TUTTI,PISA
DONATORI DI SANGUE ,14 - A,SNC,PISA
DONIZETTI GAETANO ,30 - B,TUTTI,PISA
DONIZETTI GAETANO ,38 - A,TUTTI,SAN GIULIANO TERME
DONZELLE ,16 - B,TUTTI,PISA
DOSSI CARLO ,36 - B,TUTTI,SAN GIULIANO TERME
DOVA GIANNI ,39 - A,TUTTI,SAN GIULIANO TERME
DUE ARNI ,30 - B,TUTTI,PISA
DUE ARNI ,47,15,PISA
DUE GIUGNO ,46,30,CASCINA
DUE GIUGNO ,9 - B,TUTTI,CASCINA
DUE SETTEMBRE ,29 - A,TUTTI,PISA
DUNANT JEAN HENRY ,8 - A,TUTTI,PISA
DUODO DUODI ,27 - B,TUTTI,PISA
DUOMO ,23 - B,TUTTI,PISA
DUSE ELEONORA ,28 - B,TUTTI,PISA
EDERA ,26 - B,TUTTI,PISA
EDISON THOMAS ALVA ,24 - B,TUTTI,SAN GIULIANO TERME
EINAUDI LUIGI ,10 - B,TUTTI,CASCINA
EINSTEIN ,36 - B,TUTTI,SAN GIULIANO TERME
ELBA ,29 - B,TUTTI,PISA
EMANUELE FILIBERTO DUCA D'AOSTA ,18 - B,TUTTI,PISA
EMILIA ,44,195,PISA
EMILIA ,46,450,PISA
EMILIA ,5 - A,DAL 259 AL 265 DAL 372 AL 430,PISA
EMILIA ,5 - B,DAL273 AL 359 DAL434 AL 460,PISA
EMILIA ,6 - B,DAL 1 AL 257 DAL 2 AL 370/A,PISA
ERBOSA ,31 - B,TUTTI,SAN GIULIANO TERME
ERBOSA ,35 - A,TUTTI,VECCHIANO
ERBOSA ,36 - A,TUTTI,SAN GIULIANO TERME
ERICHE ,26 - B,TUTTI,PISA
EROTE ,39 - B,TUTTI,SAN GIULIANO TERME
ESPERANTO ,14 - A,TUTTI,PISA
EUCLIDE ,39 - A,TUTTI,SAN GIULIANO TERME
EUGENIO III ,42 - B,TUTTI,CALCI
FABBRICONE PONTECORVO ,15 - A,TUTTI,SAN GIULIANO TERME
FABRONI ANGELO ,30 - B,TUTTI,PISA
FACCHINI ,3 - B,TUTTI,PISA
FACCHINI ,3 - B,TUTTI,PISA
FAGIANA ,5 - B,DAL 74 AL 132,PISA
FAGIANA ,7 - A,DAL 1 AL 11/B DAL 2 AL 72/A,PISA
FAGIANO ,5 - A,TUTTI,PISA
FALCATA ,34 - A,TUTTI,VECCHIANO
FALCIONE ,40 - A,TUTTI,SAN GIULIANO TERME
FALCONCINI RENATO ,17 - A,TUTTI,PISA
FALCONE E BORSELLINO ,34 - A,TUTTI,VECCHIANO
FALCONE GIOVANNI ,24 - B,TUTTI,PISA
FANCELLI ,36 - A,TUTTI,SAN GIULIANO TERME
FANCELLI PANDOLFO ,21 - B,TUTTI,PISA
FASANNA ,19 - B,TUTTI,PISA
FATTORI GIOVANNI ,37 - B,TUTTI,SAN GIULIANO TERME
FATTORIA ,40 - B,TUTTI,SAN GIULIANO TERME
FAVILLI NARCISO ,14 - B,TUTTI,PISA
FEDELI CARLO ,18 - B,TUTTI,PISA
FEDERIGHI SABATINO ,30 - B,TUTTI,PISA
FEDI PADRE BRUNO ,21 - A,TUTTI,PISA
FELCI ,26 - B,TUTTI,PISA
FELICI RICCARDO ,17 - A,DAL 1 AL 19,PISA
FELICI RICCARDO ,17 - A,DAL 2 AL 12,PISA
FELICI RICCARDO ,37 - A,TUTTI,SAN GIULIANO TERME
FELLONICA ,41 - B,TUTTI,CALCI
FEO ,32 - A,TUTTI,VECCHIANO
FERMI ENRICO ,19 - A,TUTTI,PISA
FERMI ENRICO ,33 - B,TUTTI,VECCHIANO
FERMI ENRICO ,43 - B,TUTTI,SAN GIULIANO TERME
FERRARI ENZO ,33 - A,TUTTI,VECCHIANO
FERRARI GIUSEPPE ,6 - A,TUTTI,PISA
FERRARI LUIGI ,39 - B,TUTTI,SAN GIULIANO TERME
FERRARIS GALILEO ,46,11,PISA
FERRARIS GALILEO ,5 - B,TUTTI,PISA
FERRERO ,43 - B,TUTTI,SAN GIULIANO TERME
FERRONI PIETRO ,6 - B,TUTTI,PISA
FERROVIA ,6 - A,TUTTI,PISA
FERRUCCI ,36 - A,TUTTI,SAN GIULIANO TERME
FERRUCCI FRANCESCO ,36 - A,TUTTI,SAN GIULIANO TERME
FIBONACCI ,34 - B,TUTTI,VECCHIANO
FIBONACCI ,37 - A,TUTTI,SAN GIULIANO TERME
FIBONACCI LEONARDO ,2 - B,TUTTI,PISA
FIENILACCIO ,41 - B,TUTTI,CALCI
FIGURETTA ,24 - B,TUTTI,PISA
FILIDEI PALMIRO ,42 - A,TUTTI,CALCI
FILZI ,37 - B,TUTTI,SAN GIULIANO TERME
FILZI FABIO ,20 - A,TUTTI,PISA
FINLANDIA ,14 - A,TUTTI,PISA
FIORDALISI ,43 - B,TUTTI,SAN GIULIANO TERME
FIORE GENNARO ,13 - B,TUTTI,PISA
FIORENTINA ,46,483,PISA
FIORENTINA ,46,414,PISA
FIORENTINA ,6 - B,DAL 1 AL 145 DAL 2 AL 48,PISA
FIORENTINA ,7 - A,DAL 291 AL 421/D DAL 322 AL 404/A,PISA
FIORENTINA ,8 - A,DAL 149 AL 279 DAL 88 AL 320/A,PISA
FIORENTINA ,8 - B,DAL 425 AL 621 DAL 406 AL 572,PISA
FIORI ,26 - B,TUTTI,PISA
FIRENZE ,20 - B,TUTTI,PISA
FIRENZE ,42 - B,TUTTI,CALCI
FISCHIONE ,32 - A,TUTTI,VECCHIANO
FISCHIONE ,50,19,VECCHIANO
FLAMINI FRANCESCO ,17 - A,TUTTI,PISA
FLAMINI FRANCESCO ,39 - A,TUTTI,SAN GIULIANO TERME
FOCE ,28 - B,TUTTI,PISA
FOGAZZARO ,17 - B,TUTTI,SAN GIULIANO TERME
FOGLIA ,2 - B,TUTTI,PISA
FONDA ,34 - B,TUTTI,VECCHIANO
FONDA ,7 - A,TUTTI,PISA
FONDACCIO ,37 - B,TUTTI,SAN GIULIANO TERME
FONDO ,40 - B,TUTTI,SAN GIULIANO TERME
FONTANA DIANA ,42 - B,TUTTI,CALCI
FONTANELLE ,40 - B,TUTTI,SAN GIULIANO TERME
FONTE ,42 - B,TUTTI,CALCI
FONTINA ,15 - A,TUTTI,SAN GIULIANO TERME
FORNACE ,7 - B,TUTTI,PISA
FORTEZZA ,2 - B,TUTTI,PISA
FORTI UMBERTO ,5 - A,TUTTI,PISA
FOSCOLO UGO ,15 - B,TUTTI,PISA
FOSCOLO UGO ,17 - B,TUTTI,SAN GIULIANO TERME
FOSCOLO UGO ,33 - B,TUTTI,VECCHIANO
FOSSA NUOVA ,25 - A,TUTTI,PISA
FOSSETTO ,38 - B,TUTTI,SAN GIULIANO TERME
FOSSO ,37 - B,TUTTI,SAN GIULIANO TERME
FOSSO DELLA BUFALINA ,22 - A,TUTTI,PISA
FOSSO VECCHIO ,5 - B,TUTTI,PISA
FRA LE ZAMBRE ,42 - B,TUTTI,CALCI
FRA' MANSUETO ,1 - A,TUTTI,PISA
FRANCARDI ROBERTINO ,27 - B,TUTTI,PISA
FRANCESCHI ,2 - B,TUTTI,PISA
FRANCESCHI CINTO LEOPOLDO ,41 - B,TUTTI,CALCI
FRANTOIO ,38 - B,TUTTI,SAN GIULIANO TERME
FRASCANI VITTORIO ,14 - A,TUTTI,PISA
FRASSINI ,25 - B,TUTTI,PISA
FRATELLI ANTONI ,1 - B,TUTTI,PISA
FRATELLI BANDIERA ,1 - B,TUTTI,PISA
FRATELLI BANDIERA ,12 - A,TUTTI,CASCINA
FRATELLI BANDIERA ,24 - B,TUTTI,SAN GIULIANO TERME
FRATELLI BRONZETTI ,6 - A,TUTTI,PISA
FRATELLI CERVI ,22 - A,TUTTI,PISA
FRATELLI CERVI ,33 - B,TUTTI,VECCHIANO
FRATELLI CERVI ,43 - A,TUTTI,SAN GIULIANO TERME
FRATELLI GAMBINI ,11 - A,TUTTI,CASCINA
FRATELLI GIACOMELLI ,10 - A,TUTTI,CASCINA
FRATELLI GOZZI ,15 - B,TUTTI,PISA
FRATELLI KENNEDY ,11 - B,TUTTI,CASCINA
FRATELLI MANETTI ,9 - A,TUTTI,CASCINA
FRATELLI MELANI GIUSEPPE E FRANCESCO ,18 - A,TUTTI,PISA
FRATELLI ROSSELLI ,10 - B,TUTTI,CASCINA
FRATELLI ROSSELLI ,24 - B,TUTTI,PISA
FRATELLI ROSSELLI ,31 - A,TUTTI,SAN GIULIANO TERME
FRATELLI ROSSELLI ,33 - B,TUTTI,VECCHIANO
FRATTI ANTONIO ,2 - A,TUTTI,PISA
FRATTI ANTONIO ,34 - B,TUTTI,VECCHIANO
FREDIANI ,40 - B,TUTTI,SAN GIULIANO TERME
FRIULI ,13 - B,TUTTI,PISA
FUCINI RENATO ,17 - B,TUTTI,SAN GIULIANO TERME
FUCINI RENATO ,18 - B,TUTTI,PISA
FUCINI RENATO ,32 - A,TUTTI,VECCHIANO
FUNAIOLI GIOVAN BATTISTA ,14 - B,TUTTI,PISA
GABBA CARLO FRANCESCO ,22 - B,TUTTI,PISA
GABER GIORGIO ,11 - B,TUTTI,CASCINA
GADDA CARLO EMILIO ,36 - A,TUTTI,SAN GIULIANO TERME
GADDI TADDEO ,30 - A,TUTTI,PISA
GADDO ,29 - B,TUTTI,PISA
GAGARIN YURI ,9 - B,TUTTI,CASCINA
GAGNO ,22 - A,TUTTI,PISA
GALDI FRANCESCO ,18 - A,TUTTI,PISA
GALDI FRANCESCO ,39 - A,TUTTI,SAN GIULIANO TERME
GALERE ,37 - A,TUTTI,SAN GIULIANO TERME
GALIANI FERDINANDO ,24 - A,TUTTI,PISA
GALILEI GALILEO ,17 - B,TUTTI,SAN GIULIANO TERME
GALILEI GALILEO ,2 - B,TUTTI,PISA
GALILEI GALILEO ,35 - A,TUTTI,VECCHIANO
GALILEI GALILEO ,48,2;24,PISA
GALIMBERTI TANCREDI DETTO DUCCIO ,24 - A,TUTTI,PISA
GALLETTI ,35 - B,TUTTI,VECCHIANO
GALLETTI RANIERI ,30 - B,TUTTI,PISA
GALLI TASSI ANGELO ,19 - A,TUTTI,PISA
GALLORO ,3 - A,TUTTI,PISA
GALLUPPI PASQUALE ,21 - A,TUTTI,PISA
GALLUZZI VITTORIO ,14 - A,TUTTI,PISA
GALVANI ,35 - A,TUTTI,VECCHIANO
GALVANI LUIGI ,23 - B,TUTTI,PISA
GALVANI LUIGI ,37 - A,TUTTI,SAN GIULIANO TERME
GAMBACORTI ,3 - B,TUTTI,PISA
GAMBACORTI ,35 - A,TUTTI,VECCHIANO
GAMBACORTI CHIARA ,2 - B,TUTTI,PISA
GAMBINI GIUSEPPE ,13 - A,TUTTI,PISA
GAMERRA GIAN PAOLO ,20 - A,TUTTI,PISA
GANDHI ,32 - A,TUTTI,VECCHIANO
GANDHI MAHATMA ,15 - B,SNC,PISA
GANGALANDI ,41 - B,TUTTI,CALCI
GARCIA LORCA ,38 - A,TUTTI,SAN GIULIANO TERME
GARDENIE ,25 - B,TUTTI,PISA
GARDENIE ,39 - A,TUTTI,SAN GIULIANO TERME
GARGALONE ,25 - A,TUTTI,PISA
GARIBALDI GIUSEPPE ,16 - B,TUTTI,PISA
GARIBALDI GIUSEPPE ,17 - A,TUTTI,PISA
GARIBALDI GIUSEPPE ,24 - B,TUTTI,SAN GIULIANO TERME
GARIBALDI GIUSEPPE ,35 - B,TUTTI,VECCHIANO
GARIBALDI GIUSEPPE ,41 - B,TUTTI,CALCI
GARIBALDI GIUSEPPE ,48,87,PISA
GAROFANI ,3 - B,TUTTI,PISA
GAROFANI ,39 - A,TUTTI,SAN GIULIANO TERME
GARZELLA ,10 - B,TUTTI,CASCINA
GASPERINI ,17 - B,TUTTI,SAN GIULIANO TERME
GATTAI MARIO ,14 - A,TUTTI,PISA
GATTICI ,25 - B,TUTTI,PISA
GAUDENZI PAGANINO ,14 - B,TUTTI,PISA
GELLO ,24 - B,TUTTI,PISA
GELLO ,50,94,PISA
GELSI ,26 - A,TUTTI,PISA
GELSO ,31 - A,TUTTI,SAN GIULIANO TERME
GELSOMINO ,38 - A,TUTTI,SAN GIULIANO TERME
GEMIGNANI RENELLO ,7 - B,TUTTI,PISA
